SEX,AGE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
0,0,3734587,3702966,3572165,3673267,3648654
0,1,3777056,3764198,3708490,3590762,3694222
0,2,3873233,3853792,3770533,3727276,3611883
0,3,3966159,3933140,3859993,3788899,3747807
0,4,4049207,4037779,3939127,3877538,3808594
0,5,4077558,4074339,4043522,3955531,3896077
0,6,4048205,4062548,4079836,4058971,3972997
0,7,4053723,4049546,4067803,4094501,4075558
0,8,4072942,4056807,4054677,4082087,4110498
0,9,4114076,4101896,4061828,4068531,4097627
0,10,4212315,4188194,4106688,4075070,4083444
0,11,4321476,4278216,4192907,4119755,4089809
0,12,4452817,4441701,4282766,4205563,4134024
0,13,4431109,4431927,4445982,4294796,4219014
0,14,4331631,4354298,4436231,4457810,4308273
0,15,4295105,4308058,4358940,4449088,4472392
0,16,4331888,4329451,4313157,4373867,4465940
0,17,4273342,4288353,4335788,4332012,4395048
0,18,4294674,4269695,4295446,4358718,4357485
0,19,4362523,4346528,4275994,4319618,4384615
0,20,4318890,4347678,4351761,4297072,4343892
0,21,4285342,4277571,4351686,4373863,4322656
0,22,4260007,4267976,4282660,4375260,4402354
0,23,4278681,4275442,4274223,4307091,4405241
0,24,4329531,4304958,4282399,4299394,4337029
0,25,4397227,4383604,4311779,4308973,4330095
0,26,4491200,4477866,4390152,4338518,4340084
0,27,4579499,4552156,4484117,4415055,4368541
0,28,4673366,4658360,4557253,4507907,4443648
0,29,4747433,4729513,4662407,4580635,4535992
0,30,4711632,4745535,4732872,4684114,4606983
0,31,4600647,4612941,4747555,4752768,4708628
0,32,4523472,4533991,4614600,4765119,4775545
0,33,4481095,4485388,4534312,4630396,4785137
0,34,4504085,4497154,4484944,4547725,4647863
0,35,4462818,4495335,4495424,4495746,4562605
0,36,4418560,4402903,4492542,4504254,4508995
0,37,4480222,4469938,4399455,4499384,4515300
0,38,4436125,4464033,4465322,4404545,4508193
0,39,4412880,4400611,4458168,4468376,4411551
0,40,4335041,4381528,4393776,4458551,4472605
0,41,4174150,4203064,4373540,4392104,4460551
0,42,4115790,4108698,4194477,4370601,4392613
0,43,4009857,4057496,4100197,4190217,4369992
0,44,3933906,3919829,4048283,4094785,4188288
0,45,3953061,3963800,3909847,4041418,4091524
0,46,3887486,3889248,3952445,3902059,4037052
0,47,3975754,3943347,3876760,3942391,3896481
0,48,4189241,4136149,3929193,3865398,3934951
0,49,4430130,4385147,4119781,3915707,3857002
0,50,4278269,4317006,4365888,4103259,3904908
0,51,4146050,4156920,4296507,4345925,4089839
0,52,4055916,4069551,4135451,4275317,4329946
0,53,4108280,4085985,4046531,4112903,4257592
0,54,4179023,4148923,4060877,4022705,4094486
0,55,4359918,4312135,4120958,4034118,4002437
0,56,4428837,4417792,4280272,4091067,4011474
0,57,4424678,4422740,4382547,4246247,4065310
0,58,4458189,4440158,4384337,4344195,4216422
0,59,4424325,4433938,4398390,4342482,4310614
0,60,4348899,4357519,4388581,4353000,4305792
0,61,4281126,4277177,4309141,4340009,4312974
0,62,4254531,4241405,4226046,4257245,4296811
0,63,4111094,4165800,4186825,4170981,4210811
0,64,3985930,3982632,4108077,4128688,4121766
0,65,3877990,3890031,3924142,4047188,4076998
0,66,3720289,3752653,3829330,3862354,3993009
0,67,3587694,3596698,3690251,3766096,3807066
0,68,3467306,3461200,3532708,3624895,3708627
0,69,3231499,3293714,3395056,3465628,3565028
0,70,3139619,3142959,3227036,3327116,3404652
0,71,3051488,3059260,3073679,3159661,3263824
0,72,3050318,2993652,2985622,3003225,3094183
0,73,3030371,3151052,2914348,2910429,2934599
0,74,2163792,2228062,3060706,2833248,2837298
0,75,2133922,2132837,2156828,2968184,2754372
0,76,2096408,2071454,2058794,2084065,2878060
0,77,2052710,2086235,1991983,1983209,2013416
0,78,1756720,1780048,1998138,1910820,1909705
0,79,1573231,1590753,1696733,1908049,1831864
0,80,1434237,1450396,1508283,1611599,1820383
0,81,1347450,1341701,1367021,1424412,1529152
0,82,1235939,1247313,1255754,1282628,1343429
0,83,1100169,1106724,1158447,1169080,1201444
0,84,1017362,1014803,1018673,1069440,1086272
0,85,922449,926424,924949,931330,985145
0,86,792674,792896,835477,836902,849622
0,87,729295,725978,706310,747466,755502
0,88,655310,651234,638949,623651,667067
0,89,585838,576342,564734,557023,549182
0,90,498961,502246,492014,484570,484258
0,91,421344,417588,421618,415163,414486
0,92,356524,354026,344006,349548,349195
0,93,287880,288362,285891,279592,288832
0,94,227657,226079,227928,227529,226473
0,95,177949,177955,174263,177396,180477
0,96,133620,133573,134000,132035,137607
0,97,96237,97214,97799,99173,99701
0,98,70134,68009,69218,70303,73254
0,99,47316,47561,46606,48372,50447
0,100,77427,75529,77452,78805,83732
0,999,331464948,331526933,332048977,333271411,334914895
1,0,1908721,1893263,1827405,1877104,1864508
1,1,1929651,1922465,1895969,1836611,1887461
1,2,1981147,1970185,1925618,1905369,1847159
1,3,2029578,2012693,1973258,1934750,1915584
1,4,2069539,2063531,2015717,1982062,1944687
1,5,2082308,2081174,2066461,2024011,1991400
1,6,2073644,2080253,2083973,2074240,2032840
1,7,2070243,2069495,2082920,2091380,2082645
1,8,2086814,2076354,2072111,2090227,2099576
1,9,2109950,2104194,2078921,2079221,2098259
1,10,2157337,2145231,2106615,2085679,2086861
1,11,2212693,2190450,2147603,2113422,2093367
1,12,2281163,2275045,2192778,2154232,2120895
1,13,2269113,2270559,2277235,2198877,2161119
1,14,2215768,2227836,2272689,2283130,2205676
1,15,2196774,2203345,2230067,2279155,2290485
